,Country,Happiness Rank,Happiness Score,Family,Freedom,Generosity,GDP,LE,Trust,Year
106,Nepal,107.0,4.793,0.69699,0.37012,0.3816,0.44626,0.50073,0.07008,2016
107,Palestinian Territories,108.0,4.754,0.71629,0.17744,0.11154,0.67024,0.56844,0.10613,2016
108,Albania,109.0,4.655,0.50163,0.31866,0.1684,0.9553,0.73007,0.05301,2016
109,Bangladesh,110.0,4.643,0.24749,0.39778,0.19132,0.54177,0.52989,0.12583,2016
110,Sierra Leone,111.0,4.635,0.628,0.30685,0.23897,0.36485,0.0,0.08196,2016
111,Iraq,112.0,4.575,0.59205,0.24856,0.19589,1.07474,0.51076,0.13636,2016
112,Namibia,113.0,4.574,0.70362,0.48614,0.07795,0.93287,0.34745,0.10398,2016
113,Cameroon,114.0,4.513,0.62542,0.42736,0.2268,0.52497,0.12698,0.06126,2016
114,Ethiopia,115.0,4.508,0.37932,0.36703,0.29522,0.29283,0.34578,0.1717,2016
115,South Africa,116.0,4.459,0.96053,0.42483,0.13656,1.02416,0.18611,0.08415,2016
116,Sri Lanka,117.0,4.415,0.84783,0.50817,0.46978,0.97318,0.62007,0.07964,2016
117,India,118.0,4.404,0.29247,0.40285,0.25028,0.74036,0.45091,0.08722,2016
118,Myanmar,119.0,4.395,0.69981,0.42692,0.81971,0.34112,0.3988,0.20243,2016
119,Egypt,120.0,4.362,0.49813,0.18847,0.12706,0.95395,0.52116,0.10393,2016
120,Armenia,121.0,4.36,0.62477,0.14037,0.07793,0.86086,0.64083,0.03616,2016
121,Kenya,122.0,4.356,0.7624,0.40576,0.41328,0.52267,0.30147,0.06686,2016
122,Ukraine,123.0,4.324,1.01413,0.12859,0.20363,0.87287,0.58628,0.01829,2016
123,Ghana,124.0,4.276,0.49353,0.40973,0.21203,0.63107,0.29681,0.0326,2016
